text,clean_text,actual_sentiment,predicted_sentiment,error_type,confidence,negative_probability,positive_probability,text_length,word_count
"@melissaa18 you being sad is making me sad, and also you wont be in religion, but drop by lunch kk ","<USER> you being sad is making me sad, and also you wont be in religion, but drop by lunch kk",1,0,false_negative,0.9948644712099415,0.9948644712099415,0.005135528790058509,93,20
@aarong405 it's shit and rainy and cold. Sucks hard!! ,<USER> it's shit and rainy and cold. Sucks hard!!,1,0,false_negative,0.9934309514076266,0.9934309514076266,0.006569048592373394,49,9
@JB04 Aww. Sucks for you. I have no such sights. ,<USER> Aww. Sucks for you. I have no such sights.,1,0,false_negative,0.9922464501947326,0.9922464501947326,0.0077535498052673825,49,10
@PeterSantilli YAY!!! ... as all who choose to NOT do right   ... even the one I voted for this time ... Thank You  and follw UR happy,<USER> YAY!!! ... as all who choose to NOT do right ... even the one I voted for this time ... Thank You and follw UR happy,0,1,false_positive,0.9921227480249396,0.007877251975060395,0.9921227480249396,123,27
"@damana that, and I miss my V8. But I don't miss paying for it, insuring it, or filling it ","<USER> that, and I miss my V8. But I don't miss paying for it, insuring it, or filling it",1,0,false_negative,0.9915023973688836,0.9915023973688836,0.008497602631116461,89,19
@SohFahrKreyZee oooh im sorry to late i smashed it ,<USER> oooh im sorry to late i smashed it,1,0,false_negative,0.9900109339347052,0.9900109339347052,0.009989066065294806,41,9
so freaking tired from last night. I wish my cold would just go away.  shelby ,so freaking tired from last night. I wish my cold would just go away. shelby,1,0,false_negative,0.9891073309365856,0.9891073309365856,0.010892669063414323,76,15
"McFly is now called McFlu! Terrible joke ha  But im ill because of mr Poynter, er! Sore throat sucks Â¬Â¬","McFly is now called McFlu! Terrible joke ha But im ill because of mr Poynter, er! Sore throat sucks Â¬Â¬",1,0,false_negative,0.9879768133809256,0.9879768133809256,0.012023186619074408,104,20
"@tinyklutzygirl Oh no, not sad at all! ","<USER> Oh no, not sad at all!",1,0,false_negative,0.9879660550034907,0.9879660550034907,0.012033944996509333,29,7
"I'm not overwhelmed with work today, so being at work isn't so bad. Means I get to talk to you lot. ","I'm not overwhelmed with work today, so being at work isn't so bad. Means I get to talk to you lot.",1,0,false_negative,0.9876088532735797,0.9876088532735797,0.012391146726420261,99,21
I feel sick;; gettin off work in close to an hour. ,I feel sick;; gettin off work in close to an hour.,1,0,false_negative,0.9873144215191328,0.9873144215191328,0.012685578480867174,50,11
Oh. No we're not ,Oh. No we're not,1,0,false_negative,0.9870553217021726,0.9870553217021726,0.012944678297827394,16,4
"@UrbanInformer now that's a good idea!! Whatever will I do for those 8 LONG DAYS??  Have a safe trip, and a wonderful time!!","<USER> now that's a good idea!! Whatever will I do for those 8 LONG DAYS?? Have a safe trip, and a wonderful time!!",0,1,false_positive,0.9870433324944132,0.012956667505586772,0.9870433324944132,115,23
@arianneross getting lost is no fun--unless you have no where to go ,<USER> getting lost is no fun--unless you have no where to go,1,0,false_negative,0.9868970533037811,0.9868970533037811,0.013102946696218927,61,12
"@mcr_rocks_alot no im not mad at you hun, i hate being mad ","<USER> no im not mad at you hun, i hate being mad",1,0,false_negative,0.9867818237410263,0.9867818237410263,0.01321817625897373,49,12
@idkDiVAS thankss ,<USER> thankss,0,1,false_positive,0.9867389139251835,0.013261086074816464,0.9867389139251835,14,2
@leximaex it's just... argh. At least you aren't angry ,<USER> it's just... argh. At least you aren't angry,1,0,false_negative,0.9864439170667538,0.9864439170667538,0.013556082933246161,51,9
"@phunybuny Night! &lt;3 So happy for ya! And wait, 15 peeps at the show? awww ","<USER> Night! <3 So happy for ya! And wait, 15 peeps at the show? awww",0,1,false_positive,0.9859824971500115,0.014017502849988484,0.9859824971500115,70,15
@endlessblush Nuts!  You should watch &quot;Role Models&quot;. Now that'll get you smiling.,"<USER> Nuts! You should watch ""Role Models"". Now that'll get you smiling.",0,1,false_positive,0.9852829383847658,0.014717061615234228,0.9852829383847658,73,12
@fromwherever: The only bad part is that I can't find any of my stuff because hes hid it away in a stack somewhere ,<USER>: The only bad part is that I can't find any of my stuff because hes hid it away in a stack somewhere,1,0,false_negative,0.9852562920503662,0.9852562920503662,0.014743707949633792,107,23
@echoshack - finally watched that clip you sent me - the memories  - thanks for sharing,<USER> - finally watched that clip you sent me - the memories - thanks for sharing,0,1,false_positive,0.9834319489508913,0.016568051049108745,0.9834319489508913,82,16
"@BrickSh0t7 ugh i hate you, we got snow in the middle of April...dont you just miss Canada?   *ends sarcasm*","<USER> ugh i hate you, we got snow in the middle of April...dont you just miss Canada? *ends sarcasm*",1,0,false_negative,0.9831310877994629,0.9831310877994629,0.01686891220053712,101,19
@hotel_max dang...cant' believe I was out of the loop to miss a tweet up there? Must not miss next one! ,<USER> dang...cant' believe I was out of the loop to miss a tweet up there? Must not miss next one!,1,0,false_negative,0.9830930985581517,0.9830930985581517,0.016906901441848213,99,20
Still tired... Still sick... Cav's won tho ,Still tired... Still sick... Cav's won tho,1,0,false_negative,0.9823485211081944,0.9823485211081944,0.017651478891805635,42,7
@juicyjoy24 aw I'm tryin boo ,<USER> aw I'm tryin boo,1,0,false_negative,0.9823476844639656,0.9823476844639656,0.01765231553603446,23,5
"I ended up, true to form, doing nothing  I do feel bad leaving dad the washing up but he didn't do any last week so balls to guilt ","I ended up, true to form, doing nothing I do feel bad leaving dad the washing up but he didn't do any last week so balls to guilt",1,0,false_negative,0.981378955571939,0.981378955571939,0.018621044428061062,129,28
"@BIG_WHITE LOL you are my new fave person haha - and yah, I am that old ","<USER> LOL you are my new fave person haha - and yah, I am that old",0,1,false_positive,0.9810291787318722,0.01897082126812777,0.9810291787318722,67,16
"@kkjordan yea, I wish that was my ass ","<USER> yea, I wish that was my ass",1,0,false_negative,0.9804840333674419,0.9804840333674419,0.019515966632558043,34,8
@hodapp hehe. @148apps beat u. :p ,<USER> hehe. <USER> beat u. :p,0,1,false_positive,0.9804537647923554,0.019546235207644647,0.9804537647923554,30,6
bored as fuck..n hungry ,bored as fuck..n hungry,1,0,false_negative,0.9801162624527214,0.9801162624527214,0.01988373754727861,23,4
@stupidNGUYEN get well soon  School was the same boring crap. I hate Spooner 'cause of my Commerce mark. I'm not gonna tell anyone :|,<USER> get well soon School was the same boring crap. I hate Spooner 'cause of my Commerce mark. I'm not gonna tell anyone :|,1,0,false_negative,0.9800044890617738,0.9800044890617738,0.019995510938226168,125,24
@xSLG  ok your POV. Personaly I think they are great live,<USER> ok your POV. Personaly I think they are great live,0,1,false_positive,0.9798924893348032,0.02010751066519678,0.9798924893348032,57,11
@MizFitOnline i grow sad as it nears 7am because i have to wake up and go work ,<USER> i grow sad as it nears 7am because i have to wake up and go work,1,0,false_negative,0.9796524129764133,0.9796524129764133,0.020347587023586727,71,17
@2fly2Bking I failed.. *sigh* I need an A for effort. I tried so hard! that's my word son.. lol ,<USER> I failed.. *sigh* I need an A for effort. I tried so hard! that's my word son.. lol,1,0,false_negative,0.9791312951172532,0.9791312951172532,0.020868704882746822,90,19
Sorry about disappearing earlier... having problems with my phone and internet connection... it's coming &amp; going... I'm here for now ,Sorry about disappearing earlier... having problems with my phone and internet connection... it's coming & going... I'm here for now,1,0,false_negative,0.9783162636751566,0.9783162636751566,0.021683736324843418,132,20
wish i was in kiama ,wish i was in kiama,1,0,false_negative,0.9778188920780542,0.9778188920780542,0.02218110792194585,19,5
UH I missed my first DATE yesterday lol HMM its hard trying to TURN in MY PLAYAH CARD ...Ill guess Ill become SUBMISSIVE ,UH I missed my first DATE yesterday lol HMM its hard trying to TURN in MY PLAYAH CARD ...Ill guess Ill become SUBMISSIVE,1,0,false_negative,0.9762370768315303,0.9762370768315303,0.023762923168469768,120,23
"@Wengles  lol, did you enjoy your pizza?","<USER> lol, did you enjoy your pizza?",0,1,false_positive,0.9748742810740082,0.025125718925991802,0.9748742810740082,37,7
@yoko71 Yoko I miss you too ,<USER> Yoko I miss you too,1,0,false_negative,0.9748715965575231,0.9748715965575231,0.025128403442476945,26,6
im back!!!  u ppl probbaly didnt miss me but oh well,im back!!! u ppl probbaly didnt miss me but oh well,1,0,false_negative,0.9746137862348556,0.9746137862348556,0.025386213765144338,51,11
@MirandaBuzz that sucks lol i would rather be acting ,<USER> that sucks lol i would rather be acting,1,0,false_negative,0.9745372221234196,0.9745372221234196,0.025462777876580387,46,9
"Off to do 1,000 chores.  Yay. Have a great day, everyone. ? http://blip.fm/~4j6he","Off to do 1,000 chores. Yay. Have a great day, everyone. ? <URL>",0,1,false_positive,0.9744025751981216,0.025597424801878432,0.9744025751981216,64,13
@cciraldo that was a major bummer.. all i wanted was some tomato soup to complement my grilled cheese. i think i'm too depressed to study ,<USER> that was a major bummer.. all i wanted was some tomato soup to complement my grilled cheese. i think i'm too depressed to study,1,0,false_negative,0.9740871342293691,0.9740871342293691,0.025912865770630854,134,25
"Good thing is she doesn't really know I hung up on her, connection coulda been bad ","Good thing is she doesn't really know I hung up on her, connection coulda been bad",1,0,false_negative,0.9737176596863975,0.9737176596863975,0.026282340313602603,82,16
"@johnmartinez sorry to reply so late! wish we could visit DL too, but the fam has been sick. maybe next week! hope surgery went well! ","<USER> sorry to reply so late! wish we could visit DL too, but the fam has been sick. maybe next week! hope surgery went well!",1,0,false_negative,0.9725945298557119,0.9725945298557119,0.02740547014428802,126,25
@wendilynnmakeup Good Morning! It's been a while since I've &quot;talked&quot; to you   - Keep up the awesome tweets.,"<USER> Good Morning! It's been a while since I've ""talked"" to you - Keep up the awesome tweets.",0,1,false_positive,0.9720321585880426,0.027967841411957406,0.9720321585880426,95,18
@ddlovato COME TO the netherlands!  we want to listen to you're awesome voice LIVE!,<USER> COME TO the netherlands! we want to listen to you're awesome voice LIVE!,0,1,false_positive,0.9715492296699023,0.028450770330097686,0.9715492296699023,79,14
i hate waking up early when i have no reason to. ughhhhh. still hating people today haha ,i hate waking up early when i have no reason to. ughhhhh. still hating people today haha,1,0,false_negative,0.9714053602668666,0.9714053602668666,0.02859463973313341,88,17
@EmilyMarieox nope  we'll vid call later if you want and you can hear it haha i videoed falling in love  it's amazing! xxxx,<USER> nope we'll vid call later if you want and you can hear it haha i videoed falling in love it's amazing! xxxx,0,1,false_positive,0.9712264930231989,0.028773506976801144,0.9712264930231989,114,23
work = exhausting. i hate tourists. so stupid... ,work = exhausting. i hate tourists. so stupid...,1,0,false_negative,0.9698619901788323,0.9698619901788323,0.030138009821167617,48,8
@OhShitRoSpit Like whoa! ,<USER> Like whoa!,0,1,false_positive,0.9672956815010411,0.03270431849895894,0.9672956815010411,17,3
@jumpsun hi jumpsun...yeah..we could do with a bit of that right now ,<USER> hi jumpsun...yeah..we could do with a bit of that right now,0,1,false_positive,0.9670996427116306,0.032900357288369375,0.9670996427116306,66,12
@ChrisHangsleben Probably not. Chris has been tired and not feeling too well lately and we are financially strapped  Isn't life fun lol,<USER> Probably not. Chris has been tired and not feeling too well lately and we are financially strapped Isn't life fun lol,1,0,false_negative,0.9667713765639087,0.9667713765639087,0.03322862343609132,124,22
@susiewarner oh sorry yr not exhibiting I misunderstood ,<USER> oh sorry yr not exhibiting I misunderstood,1,0,false_negative,0.9666249957899357,0.9666249957899357,0.03337500421006431,49,8
Lush weather were having isn't it I hope we don't need to be in college all day I want to go to whitby for the day ,Lush weather were having isn't it I hope we don't need to be in college all day I want to go to whitby for the day,1,0,false_negative,0.9661968527636974,0.9661968527636974,0.03380314723630262,114,26
i am still so tired how can one person sleep so much yet still be so tired? god its annoying lol ,i am still so tired how can one person sleep so much yet still be so tired? god its annoying lol,1,0,false_negative,0.9650325887815512,0.9650325887815512,0.034967411218448874,96,21
@JDAFilm #hug sorry I didn't have enough space. I thought of you tho ,<USER> hug sorry I didn't have enough space. I thought of you tho,1,0,false_negative,0.964916120282068,0.964916120282068,0.03508387971793201,65,13
@WendyGYoung Unfortunately I'm still alive ! lol ! ,<USER> Unfortunately I'm still alive ! lol !,1,0,false_negative,0.9648895895624705,0.9648895895624705,0.03511041043752952,44,8
don't want to go back to college! but it'll be 2 days then ,don't want to go back to college! but it'll be 2 days then,1,0,false_negative,0.9640298607709054,0.9640298607709054,0.0359701392290946,58,13
@laura_thompson I hate your stupid audits. ,<USER> I hate your stupid audits.,1,0,false_negative,0.9639143247571224,0.9639143247571224,0.03608567524287767,33,6
"@krgopalan Since they cannot find any fault with government, these issues come up. Poor Northie Medias. WHat can they do   ","<USER> Since they cannot find any fault with government, these issues come up. Poor Northie Medias. WHat can they do",1,0,false_negative,0.9638553222566203,0.9638553222566203,0.03614467774337967,116,20
"@Billy3G ewww, that always sucks. :? why didnt you text me jerk? im sure i couuld've been of some help.  haha.","<USER> ewww, that always sucks. :? why didnt you text me jerk? im sure i couuld've been of some help. haha.",1,0,false_negative,0.9637048335559736,0.9637048335559736,0.03629516644402638,107,21
"@blathering thanks! if i were a fiend, i'd be back in shape ","<USER> thanks! if i were a fiend, i'd be back in shape",0,1,false_positive,0.9635348975419409,0.03646510245805912,0.9635348975419409,54,12
"I mean, I don't like the Gadget Guy on Channel 7 but I don't want him to die. He's just a douche with really bad shirts. ","I mean, I don't like the Gadget Guy on Channel 7 but I don't want him to die. He's just a douche with really bad shirts.",1,0,false_negative,0.9629280236505494,0.9629280236505494,0.03707197634945062,120,26
wished i hung out at the airport this morning.. ALL TIME LOW ,wished i hung out at the airport this morning.. ALL TIME LOW,1,0,false_negative,0.9624616808468245,0.9624616808468245,0.03753831915317552,60,12
@Dezz_MCR Nothing hun u are sooo sweet dont feel sad she will reply you again ,<USER> Nothing hun u are sooo sweet dont feel sad she will reply you again,1,0,false_negative,0.9621180748885005,0.9621180748885005,0.037881925111499466,74,15
Just finished dying my hair  now i have to wait 30 minutes. ugh its like 12 30 am and i have to wake up at freaking 4 30 to shower and ...,Just finished dying my hair now i have to wait 30 minutes. ugh its like 12 30 am and i have to wake up at freaking 4 30 to shower and ...,1,0,false_negative,0.961431769250229,0.961431769250229,0.038568230749771004,137,32
"@Mommykins41  if you are off to bed then, sweet dreams to you. ~hugs~","<USER> if you are off to bed then, sweet dreams to you. ~hugs~",0,1,false_positive,0.9612636247930229,0.03873637520697715,0.9612636247930229,62,13
@MusicADdicts u know i know how y feel boo ,<USER> u know i know how y feel boo,1,0,false_negative,0.9608249842302866,0.9608249842302866,0.039175015769713425,35,9
"@Mezhead Princess Mez, I hope you get better soon  It was great to see you last night!","<USER> Princess Mez, I hope you get better soon It was great to see you last night!",0,1,false_positive,0.9607359587945327,0.03926404120546734,0.9607359587945327,83,17
"@GoofySami12 I just saw Blazing Saddles for the first time back in January.... sad world...  But as of right now, Netflix is my friend ","<USER> I just saw Blazing Saddles for the first time back in January.... sad world... But as of right now, Netflix is my friend",1,0,false_negative,0.960632307582675,0.960632307582675,0.03936769241732499,127,24
"@Hawlaii you wont fail, you have too much win to be fail ","<USER> you wont fail, you have too much win to be fail",1,0,false_negative,0.9600715739983916,0.9600715739983916,0.039928426001608404,54,12
"She is not very symetrical right now ;) but she is really sweet, I cut in her twice and she didn't move...poor kitten ","She is not very symetrical right now ;) but she is really sweet, I cut in her twice and she didn't move...poor kitten",1,0,false_negative,0.959807757969098,0.959807757969098,0.04019224203090204,117,23
@BecaBear Work was boring today too... which is why I left at 3:30 ,<USER> Work was boring today too... which is why I left at 3:30,1,0,false_negative,0.9595079154941086,0.9595079154941086,0.040492084505891375,63,13
@PRoachCrackHead Â£20 sorry  x,<USER> Â£20 sorry x,1,0,false_negative,0.9594038631581159,0.9594038631581159,0.04059613684188411,19,4
@BETHBRITTBRAND Hi.I'm so jealous right now  Weather in Germany sucks.,<USER> Hi.I'm so jealous right now Weather in Germany sucks.,1,0,false_negative,0.9592814932105055,0.9592814932105055,0.04071850678949453,60,10
Oh how I've missed sitting on the porch in this cozy chair *sigh* ,Oh how I've missed sitting on the porch in this cozy chair *sigh*,1,0,false_negative,0.9590387903155707,0.9590387903155707,0.040961209684429324,65,13
... years. In Maths (D I've got Jamie which isn't too bad ,... years. In Maths (D I've got Jamie which isn't too bad,1,0,false_negative,0.9588108469240393,0.9588108469240393,0.041189153075960695,57,12
"@sandgaijin unfortunately after time, people can lose their voice. Look at what happened to Robert Plant. Eddie still has the energy ","<USER> unfortunately after time, people can lose their voice. Look at what happened to Robert Plant. Eddie still has the energy",1,0,false_negative,0.9578610918246093,0.9578610918246093,0.042138908175390635,127,21
"@headfirstfor haha, boa sorte mics! ","<USER> haha, boa sorte mics!",0,1,false_positive,0.9575871603387558,0.042412839661244206,0.9575871603387558,28,5
@xXDesXx i know!  but i love it. Haha.,<USER> i know! but i love it. Haha.,0,1,false_positive,0.9575479887639301,0.0424520112360699,0.9575479887639301,35,8
@LittleFletcher haha HATE it when that happens! Although it hasn't happened in a while since I lost my battery &amp; charger... heh... ,<USER> haha HATE it when that happens! Although it hasn't happened in a while since I lost my battery & charger... heh...,1,0,false_negative,0.9573285570147545,0.9573285570147545,0.042671442985245486,121,22
twitter is acting so stupid ! so if i dont respond sorry . phone withh that (040806]  -g'nightt.,twitter is acting so stupid ! so if i dont respond sorry . phone withh that (040806] -g'nightt.,1,0,false_negative,0.9569539995664322,0.9569539995664322,0.04304600043356776,95,18
@hoyle1337 Sorry I didnt come in today.... I love you ,<USER> Sorry I didnt come in today.... I love you,1,0,false_negative,0.9567183887132271,0.9567183887132271,0.0432816112867729,49,10
@softtouchme oh no sorry babe.... we found someone that wasn't married within the past 48 hours.....  Maybe next time... ,<USER> oh no sorry babe.... we found someone that wasn't married within the past 48 hours..... Maybe next time...,1,0,false_negative,0.9566281851352546,0.9566281851352546,0.04337181486474537,113,19
@XKirstyxo Basket Case is mine  I miss it.. Going to have to listen a shit load now,<USER> Basket Case is mine I miss it.. Going to have to listen a shit load now,1,0,false_negative,0.9565096016760531,0.9565096016760531,0.04349039832394684,78,17
because i have a migraine and feel rough today #squarespace would help me feel better ,because i have a migraine and feel rough today squarespace would help me feel better,1,0,false_negative,0.9561280577267621,0.9561280577267621,0.04387194227323793,84,15
"@Donniedoll oh yeah lol, can't upset the duck ","<USER> oh yeah lol, can't upset the duck",1,0,false_negative,0.9561038897501994,0.9561038897501994,0.04389611024980057,40,8
@rockchick_30 Good afternoon ! 	 Enjoy the sun here 's the rain  have a beautiful day kiss #marsiscoming #30SECONDSTOMARS,<USER> Good afternoon ! Enjoy the sun here 's the rain have a beautiful day kiss marsiscoming 30SECONDSTOMARS,0,1,false_positive,0.9555027379634617,0.044497262036538254,0.9555027379634617,109,18
i got spring hatin on me cuz i aint ever sprung ,i got spring hatin on me cuz i aint ever sprung,1,0,false_negative,0.9540381107136329,0.9540381107136329,0.045961889286367116,47,11
@Model_Reicha i missed u so much hun i cnt belive u totally forgot bout me ugh!!!!! follow me we got alot of talkin 2 do mss ,<USER> i missed u so much hun i cnt belive u totally forgot bout me ugh!!!!! follow me we got alot of talkin 2 do mss,1,0,false_negative,0.9540111535317202,0.9540111535317202,0.04598884646827985,117,26
"Dang it - I knew I was gonna end up missing the upcoming live chat, but I gotta go to a lunch mtg...dang mtgs.  ","Dang it - I knew I was gonna end up missing the upcoming live chat, but I gotta go to a lunch mtg...dang mtgs.",1,0,false_negative,0.9535235460694768,0.9535235460694768,0.04647645393052327,110,24
@WeAdoreNiley awhh  well it might be a big deal if you love youu.,<USER> awhh well it might be a big deal if you love youu.,0,1,false_positive,0.9531223151678978,0.046877684832102196,0.9531223151678978,57,13
@slinkawoogie nopes I'm still here. prolly too much. tweetin from work like I ain't at work ,<USER> nopes I'm still here. prolly too much. tweetin from work like I ain't at work,1,0,false_negative,0.9528525450691454,0.9528525450691454,0.0471474549308546,84,16
@JazzWavvy lol nope nope but I have to prep for a presentation don't be to jealous :/ its still work work work for me ,<USER> lol nope nope but I have to prep for a presentation don't be to jealous :/ its still work work work for me,1,0,false_negative,0.9527212883767096,0.9527212883767096,0.0472787116232905,113,24
@tommcfly maby some day you will come to make show in israel ?  i sure you gonna enjoy in here to ! ,<USER> maby some day you will come to make show in israel ? i sure you gonna enjoy in here to !,0,1,false_positive,0.952404728733627,0.047595271266372974,0.952404728733627,95,22
@strong_bow Boo.  ,<USER> Boo.,1,0,false_negative,0.9516606039319668,0.9516606039319668,0.04833939606803315,11,2
@LiveLove_Acting  Good luck!!,<USER> Good luck!!,0,1,false_positive,0.9514993534460137,0.04850064655398634,0.9514993534460137,18,3
"...actually that Role Models kid was amazing, haha. Rob's won though ","...actually that Role Models kid was amazing, haha. Rob's won though",0,1,false_positive,0.9513645200713832,0.04863547992861683,0.9513645200713832,68,11
i wish it was june 12th already ,i wish it was june 12th already,1,0,false_negative,0.9512922235005669,0.9512922235005669,0.048707776499433135,31,7
